Battalian.x, Battalian.y, status, cumulative_impact, Hitted_escort_index
20, 20, 1, 100.00, -2
20, 20, 1, 94.00, 4
20, 20, 1, 89.00, 17
20, 20, 1, 83.00, 4
20, 20, 1, 78.00, 17
20, 20, 1, 72.00, 4
20, 20, 1, 67.00, 17
20, 20, 1, 61.00, 4
20, 20, 1, 56.00, 17
20, 20, 1, 50.00, 4
20, 20, 1, 45.00, 17
20, 20, 1, 39.00, 4
20, 20, 1, 34.00, 17
20, 20, 1, 28.00, 4
20, 20, 1, 23.00, 17
20, 20, 1, 17.00, 4
20, 20, 1, 12.00, 17
20, 20, 1, 6.00, 4
20, 20, 1, 1.00, 17
20, 20, 1, -5.00, 4
20, 20, 0, -5.00, 17
