Battalian.x, Battalian.y, status, cumulative_impact, Hitted_escort_index
0, 0, 1, 100.00, -1
1, 1, 1, 100.00, -1
2, 2, 1, 100.00, -1
3, 3, 1, 100.00, -1
4, 4, 1, 100.00, -1
5, 5, 1, 100.00, -1
6, 6, 1, 100.00, -1
7, 7, 1, 100.00, -1
8, 8, 1, 100.00, -1
9, 9, 1, 100.00, -1
10, 10, 1, 100.00, -1
11, 11, 1, 100.00, -1
12, 12, 1, 100.00, -1
13, 13, 1, 100.00, -1
14, 14, 1, 100.00, -1
15, 15, 1, 100.00, -1
16, 16, 1, 100.00, -1
17, 17, 1, 100.00, -1
18, 18, 1, 92.00, 1
19, 19, 1, 92.00, -1
20, 20, 1, 92.00, -1
21, 20, 1, 92.00, -1
22, 20, 1, 92.00, -1
23, 20, 1, 92.00, -1
24, 20, 1, 92.00, -1
25, 20, 1, 92.00, -1
26, 20, 1, 92.00, -1
27, 20, 1, 92.00, -1
28, 20, 1, 92.00, -1
29, 20, 1, 92.00, -1
