index, position, impact_power, maxV, minV, maxA, minA, time, type
0, 72, 35, 0.08, 5.68, 4.79, 44.72, 24.72, 30, Ea
1, 24, 86, 0.07, 12.01, 10.34, 29.42, 4.42, 20, Ec
2, 79, 33, 0.06, 11.48, 10.86, 58.72, 28.72, 15, Eb
3, 65, 28, 0.06, 17.51, 2.59, 90.00, 77.73, 15, Eb
4, 15, 43, 0.06, 17.98, 10.63, 90.00, 65.77, 15, Eb
5, 74, 93, 0.04, 4.38, 1.24, 81.50, 11.50, 5, Ee
6, 74, 87, 0.05, 2.37, 0.03, 75.94, 25.94, 10, Ed
7, 94, 28, 0.07, 19.54, 2.07, 27.31, 2.31, 20, Ec
8, 45, 46, 0.08, 1.90, 1.40, 55.64, 35.64, 30, Ea
9, 61, 6, 0.05, 7.48, 2.58, 90.00, 54.55, 10, Ed
10, 45, 72, 0.05, 7.53, 3.91, 90.00, 86.00, 10, Ed
11, 60, 83, 0.05, 19.42, 1.76, 89.79, 39.79, 10, Ed
12, 4, 42, 0.05, 5.00, 0.59, 62.48, 12.48, 10, Ed
13, 13, 20, 0.04, 10.67, 4.10, 90.00, 73.85, 5, Ee
14, 75, 58, 0.05, 19.52, 12.80, 90.00, 62.92, 10, Ed
15, 7, 56, 0.08, 4.11, 0.25, 68.66, 48.66, 30, Ea
16, 73, 20, 0.06, 11.83, 4.69, 85.25, 55.25, 15, Eb
17, 21, 23, 0.05, 21.98, 17.15, 90.00, 86.80, 0, Ed
18, 56, 12, 0.06, 4.44, 2.23, 89.80, 59.80, 15, Eb
19, 86, 99, 0.08, 9.83, 2.51, 77.42, 57.42, 30, Ea
